"candidate_native_effect","candidate_fold_change","direction","taxon","source_feature","sign","null_baseline_conditional_mean_log_relative_contrast","raw_intervention_conditional_mean_log_relative_contrast","mapped_conditional_mean_log_relative_effect"
0.405465108108164,1.5,"positive","Taxon_001","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis",1,-0.151522844765512,0.219557942686979,0.371080787452491
0.405465108108164,1.5,"positive","Taxon_002","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris",1,0.0470925738841181,0.124762851001245,0.0776702771171269
0.405465108108164,1.5,"positive","Taxon_003","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus",1,-0.0652267886195057,0.120525608294152,0.185752396913657
0.405465108108164,1.5,"positive","Taxon_004","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis",1,0.0173571758881552,0.0925914101052348,0.0752342342170795
0.405465108108164,1.5,"positive","Taxon_005","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae",1,0.000474157351415982,0.115869166288558,0.115395008937142
0.405465108108164,1.5,"positive","Taxon_006","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus",1,-0.0281763759837306,0.0845924321550635,0.112768808138794
0.405465108108164,1.5,"positive","Taxon_007","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei",1,0.00154825410298187,0.118316158487398,0.116767904384417
0.405465108108164,1.5,"positive","Taxon_008","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",1,-0.00729225154079671,0.100914141852797,0.108206393393594
0.405465108108164,1.5,"positive","Taxon_009","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae",1,-0.0350811504498694,0.0777295464154069,0.112810696865276
0.405465108108164,1.5,"positive","Taxon_010","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii",1,-0.073589136341055,0.0968268078967434,0.170415944237798
