"taxon","source_feature","panel_rank","pi0","mu","sigma","expected_absolute_abundance","expected_detection_at_1500"
"Taxon_001","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis",1,0.556485355648536,2.94459431094599,3.96935708335969,22235.995656466,0.279402496609504
"Taxon_002","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris",2,0.330543933054393,4.26566829118572,3.35009502946737,13042.2179305871,0.522692351260232
"Taxon_003","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus",3,0.0585774058577406,4.38397563975767,2.71267016624846,2989.62190573603,0.777294269703768
"Taxon_004","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis",4,0.200836820083682,5.31631567580836,2.17810702749254,1744.46057980939,0.744434289257345
"Taxon_005","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae",5,0.364016736401674,4.36900797228803,2.57246580124539,1373.63403947709,0.52895098225469
"Taxon_006","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus",6,0.0920502092050209,4.89078148606096,2.19267245499009,1336.91705242464,0.818516955493511
"Taxon_007","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei",7,0.225941422594142,2.85526171728638,3.01067915874733,1250.43714966537,0.511071942155606
"Taxon_008","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",8,0.0836820083682008,5.26035513628834,1.95998680843217,1204.40079752962,0.86037357458029
"Taxon_009","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae",9,0.292887029288703,4.74870781864281,2.25633625534147,1040.72163385389,0.626890125026526
"Taxon_010","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii",10,0.426778242677824,3.27786709137581,2.7268692376263,625.963701646541,0.406435960921348
